,sentiment,negative_reason,text
0,Negative,Women Reproductive right and Racism,b instead suggest agre canadian women trust andrewsch conserv govern protect woman right automoni bodi let go cdnpoli elxn43 canada abort
1,Negative,Economy,b brantford go cost 94 billion next 4 year ask justin elxn43 cdnpoli canada
2,Negative,Economy,b canada taxpay sick amp tire hard earn donat corpor welfar bum need one mani reason trudeaumustgo leav canada care snclavalinscand election2019 elxn43 cdnpoli
3,Negative,Others,b canadavotes2019 elxn43 cdnpoli fact blastfromthepast 2012 conserv introduc end long gun registri even though head polic across canada victim group object crime control public safeti gunlobbi
4,Negative,Others,b chooseforward cdnpoli elxn43 ncanada make america mistak full frontal tb via
5,Negative,Scandal,b cpckinsellag nlet see receipt pay warren kinsella make sleaz n cdnpoli n elxn43 n voteliber xf0 x9f x87 xa8 xf0 x9f x87 xa6 n chooseforward
6,Negative,Others,b kinsella run deep w cpc lyingandi craze anti trudeau fixat border freudian n nkinsella hand overhyp snclavalin situat question connect kinsella n n cdnpoli n elxn43
7,Negative,Tell lies,b lyingandi histori answer embarrass question one answer trump oper work campaign spoiler alert ye yankeedoodleandi scheeramerican elxn43 cdnpoli n
8,Negative,Scandal,b urgent pleas watch video david haskel peopl parti candid cambridg break recent news concern conserv parti hire firm spread disinform us ppc2019 ygk elxn43 cdnpoli corrupt n
9,Negative,Others,b polici comment illeg immor nefari activ cpc amp justin trudeau poopi pant n n elxn43 cdnpoli kinsellag
10,Negative,Others,b fit hold public offic let alon pm n ncanadian deserv better n n voteppc n n kinsellag elxn43 n n powerhungrylibcon
11,Negative,Others,b alberta saskatchewan ontario provinc issu canada mani ontario wait send pack monday trudeaumustgo election2019 elxn43 cdnpoli
12,Negative,Scandal,b citizen file complaint arrest believ amount corrupt goe complet ignor canada seem busi pat back american guess n cdnpoli elxn43
13,Negative,Others,b use 5 dodgebal ndodg dip duck dive dodg nit work xf0 x9f x87 xa8 xf0 x9f x87 xa6 see sanctimoni fraud n ntwo day two day ntwo day two day ntwo day two day ntwo day two day n n elxn43 n cdnpoli
14,Negative,Tell lies,b ask question hypothet n cdnpoli elxn43
15,Negative,Scandal,b surpris n answer q year alway respond rehers talk point bafflegab word salad effort deflect distract laundri list person scandal lpc misstep n xf0 x9f x87 xa8 xf0 x9f x87 xa6 voter wake n n elxn43 n cdnpoli
16,Negative,Scandal,b warren jwr yell us new stori involv liber smear campaign cdnpoli elxn43
17,Negative,Privilege,b life also gotten expens republican hero like elect cater well everyon els expens n n elxn43 stopscheer kinsellag
18,Negative,Others,b pretti simpl much evid need see realiz littl differ blue red mafia smfh xf0 x9f xa4 xa6 xe2 x80 x8d xe2 x99 x82 xef xb8 x8f libconsmear elxn43
19,Negative,Others,b fender bender make bc suprem court mean appeal guilti verdict elxn43 trudeaumustgo liberalsmustgo lavscam trudeaublackfac notasadvertis scheer4pm scheermajor
20,Negative,Scandal,b speak decept get money worth pay warren kinsella take rival parti n n cdnpoli cdnelxn2019 elxn43 n n
21,Negative,Scandal,b investig elxn43 donat petroleum lobbyist capp andycapp handicapp cpc hq
22,Negative,Economy,b start basic legal premis preced court work way propos let restat teamtrudeau demand isd trade favour cdn extract oper worldwid n nalso bs excus 50 year tar sand n n elxn43
23,Negative,Tell lies,b serious west coast either high clearli pay attent rest xf0 x9f x87 xa8 xf0 x9f x87 xa6 bigbluewav come oct 21st lay mushroom n cdnpoli elxn43 trudeaumustgo buttsmustgo liberalliesanddecept scheer2019 scheer4pm
24,Negative,Others,b even n n cdnpoli yyj qcpoli onpoli ableg nspoli ubc peipoli vanpoli ucalgari bced mytru elxn43 uoft nbed unbc skpoli abe nlpoli ualberta mbpoli topoli nait bcpoli yow ont nbpoli sask mbedu nflded edupei nsed uvic sfu eduqc yeg yyc
25,Negative,Tell lies,b name one elect sinc harper mackay shook hand death pc parti cpc lie cheat cdnpoli elxn43
26,Negative,Others,b one leader give answer question given leader bare tri answer question elxn43 cdnpoli
27,Negative,Scandal,b campaign hire warrenkinsella time work andrewsch explain pleas see link 2 faction diametr oppos anyon vote green vote split mechan engin oil patch elxn43
28,Negative,Tell lies,b well known rafidit support jerk noth done trudeau hypocrit bring syrian refuge flee iran bomb run iranian regim support mp elxn43 cdnpoli trudeaumustgo trudeauhypocrit
29,Negative,Climate Problem,b give us greenhous ga reduct strategi prevent catastroph climat chang amp meet ipcc target plan even meet harper weak target bought pipelin get f grade climat elxn43 climatevot cdnpoli
30,Negative,Others,b look po boy squirm n nguilti n cdnpoli n elxn43
31,Negative,Scandal,b andi transpar elect expect transpar pm n scheerhypocrisi elxn43
32,Negative,Healthcare,b coalit gov might get us evid base polici opioid crisi kill 13 000 canadian sinc 2016 must stop harm stop inter gener trauma elxn43 cdnpoli stoptheharm safesuppli decrimin voteforchang
33,Negative,Tell lies,b truth becom shit ear want hear n n peoplespartyofcanada n choosemaxim n ppc2019 n elxn43 n cdnpoli n trudeauesqu
34,Negative,Tell lies,b began long ago put ice gift canadiansstandonguard invasionbystealth ugli benefit peopl whengreedlead usual con job voteliber bethechang elxn43
35,Negative,Scandal,b even block block second account back guess want comment disast elxn43 cdnpoli
36,Negative,Scandal,b candid appar troubl swallow scheerli today presser hire ismellakinsella daisi group sabotag ppc campaign elxn43 n scheerdisast chooseforwardwithtrudeau
37,Negative,Scandal,b conserv parti spend campaign distanc doug ford get bust final day someth doug ford would done fashion doug ford would cdnpoli elxn43
38,Negative,Scandal,b gladli send thousand dollar convinc read snope soro right wing misinform n nand one know doubt done homework start type tick tock rememb must convinc elxn43
39,Negative,Tell lies,b referr alchohol consumpt noth childish behavior stick fact cheap shot put caus good light cdnpoli elxn43
40,Negative,Others,b trudeau bash alberta want get singl seat provinc ontario take ontario grant trudeaumustgo trudeaublackfac trudeauworstpm trudeaumustresign cdnpoli polcan elxn43 ontpoli abpoli fordnat
41,Negative,Others,b obama sold trudeaublackfac endors blackfac ndp turban dude progress discredit ideolog get fox new trucker carson cover elxn43 cdnpoli
42,Negative,Tell lies,b heyday big money go defend posit ceo tell employe vote recircul inform talk possibl consequ given balanc power call bs n cdnpoli elxn43
43,Negative,Tell lies,b andrewsch real name lie constitu get elect first place got caught lie deceitfulandi lie ever sinc christian definit leader elxn43
44,Negative,Tell lies,b cdnpoli elxn43 trudeau cheat get nomin scheer would jail commit resum fraud ireland man got 2 year jail lie resum scheer got leadership parti goe show low
45,Negative,Scandal,b nation newspap drop paywal newspap report mani peopl went advanc poll access articl free pathet happen better elxn43 stayinform
46,Negative,Tell lies,b stephen harper back b1tchezzz xc2 xa0 harper soon take weak andi welcom jodi amp jane aboard con train sh run oct 2019 xc2 xa0 sh promis jwr canada first con fn woman pm 2023 xf0 x9f x9a xa9 cdnpoli elxn43
47,Negative,Scandal,b blanchet becam contend qc would seem reason trudeau would number 1 target would surpris one contract award smear scheer oppon cdnpoli elxn43 chooseforward
48,Negative,Tell lies,b still close enough n ni realli understand citizen reginaquappel andi lie much lie rest countri n nserious regina reginaquappel think n n cdnpoli elxn43 itsourvot
49,Negative,Others,b alway damn quiet one mousymarshal xf0 x9f x98 x8b satir cluckcluck n scheerdisast n cdnpoli elxn43
50,Negative,Tell lies,b long overdu cdnmedia get bottom cpc visciou person attack daili lie smear campaign trudeau kinsella idu proud boy dirti campaign republicon need russian n n cdnpoli n elxn43
51,Negative,Economy,b pipelin huawei saudi cpc n factsmatt cdnpoli elxn43 nocpc abc nfipa agreement china realli canada
52,Negative,Others,b strategist hire conserv parti payrol strategi elizabeth peel progress vote ensur cpc win thereisnofederalgreenwav bcpoli elxn43 cdnpoli saanich
53,Negative,Tell lies,b well warren kinsella twitter promot andrew scheer fake scandal ye sure look like andrew scheer hire warren kinsella smear justin trudeau well n n cdnpoli elxn43
54,Negative,Scandal,b fire need extinguish n amp ppc egg face trudeaumustgo elxn43
55,Negative,Women Reproductive right and Racism,b hey want explain like obvious racist nasti tweet campaign suppos polit done differ elxn43
56,Negative,Tell lies,b ye fact jagmeetsingh contradict sinc day one remind tommulcair sound like closet conserv desper jump like clown cdnpoli elxn43 chooseforward teamtrudeau
57,Negative,Tell lies,b forgot mention bia coverag less propaganda take fakenew cdnmedia activist seek influenc elxn43 n nyou one sad
58,Negative,Others,b sound increasingli desper today attack well canada need new pm divis trudeaumustgo cdnpoli elxn43 divis scheer4pm
